Year,Place,Name,Time,Rookie,Hometown,Year,Days,Hours,Min,Sec,Time_(days),Finish,Prize_Money,Points_(binary),Points_(top_20),Points_(1/x)
2021,99,Dennis Kananowicz,6d 13h 19m 0s,,"Tolsona, Alaska",2021,6,13,19,0,6.554861111,No,0,0,0,0.01010101
2021,99,Brenda Mackey,2d 7h 15m 0s,Yes,"Two Rivers, Alaska, US",2021,2,7,15,0,2.302083333,No,0,0,0,0.01010101
2021,99,Christopher Parker,3d 1h 55m 0s,Yes,"Fairbanks, Alaska, United States",2021,3,1,55,0,3.079861111,No,0,0,0,0.01010101
2021,99,Jeremy Traska,7d 5h 18m 0s,Yes,"Two Rivers, Alaska, US",2021,7,5,18,0,7.220833333,No,0,0,0,0.01010101
2021,99,Aliy Zirkle,1d 6h 5m 0s,,"Two Rivers, Alaska",2021,1,6,5,0,1.253472222,No,0,0,0,0.01010101
2020,1,Thomas Waerner,9d 10h 37m 47s,,"Torpa, NORWAY",2020,9,10,37,47,9.442905093,Yes,51607,1,1,1
2020,2,Mitch Seavey,9d 16h 15m 38s,,"Seward, Alaska",2020,9,16,15,38,9.677523148,Yes,43463,0,0.95,0.5
2020,3,Jessie Royer,9d 17h 47m 16s,,"Fairbanks, Alaska",2020,9,17,47,16,9.741157407,Yes,40113,0,0.9,0.333333333
2020,4,Brent Sass,9d 18h 57m 47s,,"Eureka, Alaska",2020,9,18,57,47,9.790127315,Yes,36163,0,0.85,0.25
2020,5,Aaron Burmeister,9d 19h 18m 53s,,"Nome/Nenana, Alaska",2020,9,19,18,53,9.804780093,Yes,33263,0,0.8,0.2
2020,6,Joar Leifseth Ulsom,9d 19h 48m 41s,,"Mo i Rana, NORWAY",2020,9,19,48,41,9.825474537,Yes,28413,0,0.75,0.166666667
2020,7,Paige Drobny,9d 19h 54m 35s,,"Cantwell, Alaska",2020,9,19,54,35,9.829571759,Yes,26183,0,0.7,0.142857143
2020,8,Ryan Redington,9d 20h 40m 58s,,"Skagway, Alaska",2020,9,20,40,58,9.861782407,Yes,25263,0,0.65,0.125
2020,9,Jessie Holmes,9d 21h 9m 28s,,"Nenana, Alaska",2020,9,21,9,28,9.881574074,Yes,23763,0,0.6,0.111111111
2020,10,Travis Beals,9d 21h 11m 11s,,"Seward, Alaska",2020,9,21,11,11,9.882766204,Yes,22313,0,0.55,0.1
2020,11,Ramey Smyth,9d 21h 52m 9s,,"Willow, Alaska",2020,9,21,52,9,9.911215278,Yes,20911,0,0.5,0.090909091
2020,12,Wade Marrs,9d 22h 4m 39s,,"Willow, Alaska",2020,9,22,4,39,9.919895833,Yes,19611,0,0.45,0.083333333
2020,13,Michelle Phillips,9d 22h 42m 14s,,"Tagish, YT, CANADA",2020,9,22,42,14,9.94599537,Yes,18311,0,0.4,0.076923077
2020,14,Peter Kaiser,9d 22h 56m 19s,,"Bethel, Alaska",2020,9,22,56,19,9.955775463,Yes,17111,0,0.35,0.071428571
2020,15,Mille Porsild,10d 1h 43m 15s,Yes,DENMARK,2020,10,1,43,15,10.07170139,Yes,15911,0,0.3,0.066666667
2020,16,Jeff Deeter,10d 5h 8m 14s,,"Fairbanks, Alaska",2020,10,5,8,14,10.21405093,Yes,14761,0,0.25,0.0625
2020,17,Kelly Maixner,10d 6h 21m 55s,,"Big Lake, Alaska",2020,10,6,21,55,10.26521991,Yes,13661,0,0.2,0.058823529
2020,18,Aliy Zirkle,10d 7h 28m 30s,,"Two Rivers, Alaska",2020,10,7,28,30,10.31145833,Yes,12661,0,0.15,0.055555556
2020,19,Tom Frode Johansen,10d 15h 37m 8s,Yes,"Furuflaten, NORWAY",2020,10,15,37,8,10.65078704,Yes,11661,0,0.1,0.052631579
2020,20,Tim Pappas,11d 0h 57m 36s,,"Big Lake, Alaska",2020,11,0,57,36,11.04,Yes,10661,0,0.05,0.05
2020,21,Jessica Klejka,11d 2h 25m 55s,,"Wasilla, Alaska",2020,11,2,25,55,11.10133102,Yes,1049,0,0,0.047619048
2020,22,Lev Shvarts,11d 3h 0m 16s,,"Willow, Alaska",2020,11,3,0,16,11.12518519,Yes,1049,0,0,0.045454545
2020,23,Grayson Bruton,13d 17h 20m 9s,Yes,"Sterling, Alaska",2020,13,17,20,9,13.72232639,Yes,1049,0,0,0.043478261
2020,24,Martin Buser,13d 17h 50m 34s,,"Big Lake, Alaska",2020,13,17,50,34,13.74344907,Yes,1049,0,0,0.041666667
2020,25,Riley Dyche,13d 17h 58m 55s,Yes,"Fairbanks, Alaska",2020,13,17,58,55,13.74924769,Yes,1049,0,0,0.04
2020,26,Magnus Kaltenborn,13d 18h 23m 59s,,"Whitehorse, YT, CANADA",2020,13,18,23,59,13.76665509,Yes,1049,0,0,0.038461538
2020,27,Deke Naaktgeboren,13d 18h 48m 40s,Yes,"Fairbanks, Alaska",2020,13,18,48,40,13.7837963,Yes,1049,0,0,0.037037037
2020,28,Dennis Kananowicz,13d 18h 53m 59s,,"Tolsona, Alaska",2020,13,18,53,59,13.78748843,Yes,1049,0,0,0.035714286
2020,29,Fabio Berlusconi,13d 18h 56m 38s,Yes,"Lomazzo, ITALY",2020,13,18,56,38,13.7893287,Yes,1049,0,0,0.034482759
2020,30,Monica Zappa,13d 19h 42m 2s,,"Kasilof, Alaska",2020,13,19,42,2,13.82085648,Yes,1049,0,0,0.033333333
2020,31,Laura Neese,13d 19h 45m 53s,,"McMillan, MI",2020,13,19,45,53,13.82353009,Yes,1049,0,0,0.032258065
2020,32,Damon Ramaker,13d 20h 28m 37s,Yes,"Fountain, MN",2020,13,20,28,37,13.85320602,Yes,1049,0,0,0.03125
2020,33,Kaci Murringer,13d 22h 29m 45s,Yes,"Willow, Alaska",2020,13,22,29,45,13.93732639,Yes,1049,0,0,0.03030303
2020,99,Anna Berington,8d 3h 13m 0s,,"Knik, Alaska",2020,8,3,13,0,8.134027778,No,0,0,0,0.01010101
2020,99,Kristy Berington,8d 3h 13m 0s,,"Knik, Alaska",2020,8,3,13,0,8.134027778,No,0,0,0,0.01010101
2020,99,Robert Bundtzen,11d 2h 49m 0s,,"Anchorage, Alaska",2020,11,2,49,0,11.11736111,No,0,0,0,0.01010101
2020,99,Jason Campeau,10d 2h 6m 0s,,"Rocky Mountain House, AB, CANADA",2020,10,2,6,0,10.0875,No,0,0,0,0.01010101
2020,99,Larry Daugherty,8d 10h 42m 0s,,"Eagle River, Alaska",2020,8,10,42,0,8.445833333,No,0,0,0,0.01010101
2020,99,Richie Diehl,7d 11h 24m 0s,,"Aniak, Alaska",2020,7,11,24,0,7.475,No,0,0,0,0.01010101
2020,99,Gabe Dunham,9d 4h 4m 0s,Yes,"Willow, Alaska",2020,9,4,4,0,9.169444444,No,0,0,0,0.01010101
2020,99,Alan Eischens,4d 11h 43m 0s,,"Wasilla, Alaska",2020,4,11,43,0,4.488194444,No,0,0,0,0.01010101
2020,99,Matthew Failor,10d 12h 48m 0s,,"Willow, Alaska",2020,10,12,48,0,10.53333333,No,0,0,0,0.01010101
2020,99,Linwood Fiedler,5d 15h 42m 0s,,"Willow, Alaska",2020,5,15,42,0,5.654166667,No,0,0,0,0.01010101
2020,99,Nils Hahn,3d 14h 30m 0s,,"Nome, Alaska, US",2020,3,14,30,0,3.604166667,No,0,0,0,0.01010101
2020,99,Karin Hendrickson,8d 23h 9m 0s,,"Wasilla, Alaska",2020,8,23,9,0,8.964583333,No,0,0,0,0.01010101
2020,99,Jeremy Keller,3d 2h 36m 0s,,"Knik, Alaska",2020,3,2,36,0,3.108333333,No,0,0,0,0.01010101
2020,99,Tom Knolmayer,10d 12h 19m 0s,,"Wasilla, Alaska",2020,10,12,19,0,10.51319444,No,0,0,0,0.01010101
2020,99,Jim Lanier,1d 9h 44m 0s,,"Chugiak, Alaska",2020,1,9,44,0,1.405555556,No,0,0,0,0.01010101
2020,99,Lance Mackey,11d 1h 6m 0s,,"Fairbanks, Alaska",2020,11,1,6,0,11.04583333,No,0,0,0,0.01010101
2020,99,Meredith Mapes,9d 10h 10m 0s,,"Palmer, Alaska",2020,9,10,10,0,9.423611111,No,0,0,0,0.01010101
2020,99,Martin Massicotte,5d 18h 7m 0s,Yes,"St-Tite, Quebec, CANADA",2020,5,18,7,0,5.754861111,No,0,0,0,0.01010101
2020,99,Quince Mountain,9d 20h 23m 0s,Yes,"Mountain, WI",2020,9,20,23,0,9.849305556,No,0,0,0,0.01010101
2020,99,Aaron Peck,7d 5h 51m 0s,,"Grande Prairie, AB, CANADA",2020,7,5,51,0,7.24375,No,0,0,0,0.01010101
2020,99,Nicolas Petit,8d 20h 11m 0s,,"Girdwood, Alaska",2020,8,20,11,0,8.840972222,No,0,0,0,0.01010101
2020,99,Robert Redington,9d 8h 33m 0s,,"Willow, Alaska",2020,9,8,33,0,9.35625,No,0,0,0,0.01010101
2020,99,John Schandelmeier,9d 3h 10m 0s,,"Paxson, Alaska",2020,9,3,10,0,9.131944444,No,0,0,0,0.01010101
2020,99,Sean Underwood,10d 11h 59m 0s,Yes,"Atlanta, Georgia",2020,10,11,59,0,10.49930556,No,0,0,0,0.01010101
2019,1,Peter Kaiser,9d 12h 39m 6s,,"Bethel, Alaska",2019,9,12,39,6,9.527152778,Yes,51299,1,1,1
2019,2,Joar Leifseth Ulsom,9d 12h 51m 22s,,"Mo i Rana, NORWAY",2019,9,12,51,22,9.535671296,Yes,43143,0,0.95,0.5
2019,3,Jessie Royer,9d 18h 34m 5s,,"Fairbanks, Alaska",2019,9,18,34,5,9.773668981,Yes,39793,0,0.9,0.333333333
2019,4,Aliy Zirkle,10d 2h 26m 56s,,"Two Rivers, Alaska",2019,10,2,26,56,10.10203704,Yes,35843,0,0.85,0.25
2019,5,Travis Beals,10d 3h 37m 25s,,"Seward, Alaska",2019,10,3,37,25,10.1509838,Yes,32943,0,0.8,0.2
2019,6,Matt Hall,10d 6h 3m 15s,,"Two Rivers, Alaska",2019,10,6,3,15,10.25225694,Yes,28093,0,0.75,0.166666667
2019,7,Paige Drobny,10d 6h 9m 37s,,"Fairbanks, Alaska",2019,10,6,9,37,10.25667824,Yes,26493,0,0.7,0.142857143
2019,8,Ramey Smyth,10d 8h 13m 50s,,"Willow, Alaska",2019,10,8,13,50,10.34293981,Yes,24946,0,0.65,0.125
2019,9,Mitch Seavey,10d 8h 25m 14s,,"Seward, Alaska",2019,10,8,25,14,10.35085648,Yes,23443,0,0.6,0.111111111
2019,10,Aaron Burmeister,10d 9h 34m 25s,,"Nome/Nenana, Alaska",2019,10,9,34,25,10.39890046,Yes,21993,0,0.55,0.1
2019,11,Richie Diehl,10d 10h 40m 14s,,"Aniak, Alaska",2019,10,10,40,14,10.44460648,Yes,20593,0,0.5,0.090909091
2019,12,Linwood Fiedler,10d 12h 9m 50s,,"Willow, Alaska",2019,10,12,9,50,10.5068287,Yes,19293,0,0.45,0.083333333
2019,13,Jeff King,10d 13h 7m 20s,,"Denali, Alaska",2019,10,13,7,20,10.54675926,Yes,17993,0,0.4,0.076923077
2019,14,Wade Marrs,10d 14h 26m 7s,,"Willow, Alaska",2019,10,14,26,7,10.60146991,Yes,16793,0,0.35,0.071428571
2019,15,Jeff Deeter,10d 20h 48m 12s,,"Fairbanks, Alaska",2019,10,20,48,12,10.86680556,Yes,15593,0,0.3,0.066666667
2019,16,Kristy Berington,10d 23h 4m 48s,,"Knik, Alaska",2019,10,23,4,48,10.96166667,Yes,14443,0,0.25,0.0625
2019,17,Anna Berington,10d 23h 5m 15s,,"Knik, Alaska",2019,10,23,5,15,10.96197917,Yes,13343,0,0.2,0.058823529
2019,18,Matthew Failor,11d 1h 3m 21s,,"Willow, Alaska",2019,11,1,3,21,11.04399306,Yes,12343,0,0.15,0.055555556
2019,19,Seth Barnes,11d 1h 13m 45s,,"Willow, Alaska",2019,11,1,13,45,11.05121528,Yes,11343,0,0.1,0.052631579
2019,20,Mats Pettersson,11d 2h 40m 29s,,"Kiruna, SWEDEN",2019,11,2,40,29,11.11144676,Yes,10343,0,0.05,0.05
2019,21,Ed Hopkins,11d 8h 7m 34s,Yes,"Carcross, YT, CANADA",2019,11,8,7,34,11.33858796,Yes,1049,0,0,0.047619048
2019,22,Martin Buser,11d 10h 16m 24s,,"Big Lake, Alaska",2019,11,10,16,24,11.42805556,Yes,1049,0,0,0.045454545
2019,23,Aaron Peck,11d 11h 10m 5s,,"Grande Prairie, AB, CANADA",2019,11,11,10,5,11.46533565,Yes,1049,0,0,0.043478261
2019,24,Charley Bejna,11d 12h 34m 33s,,"Addison, IL",2019,11,12,34,33,11.52399306,Yes,1049,0,0,0.041666667
2019,25,Michi Konno,11d 12h 59m 36s,,"Willow, Alaska",2019,11,12,59,36,11.54138889,Yes,1049,0,0,0.04
2019,26,Lance Mackey,11d 22h 41m 40s,,"Fairbanks, Alaska",2019,11,22,41,40,11.94560185,Yes,1049,0,0,0.038461538
2019,27,Jessie Holmes,11d 22h 41m 45s,,"Nenana, Alaska",2019,11,22,41,45,11.94565972,Yes,1049,0,0,0.037037037
2019,28,Apayauq Reitan,12d 5h 15m 17s,Yes,"Kaktovik, Alaska",2019,12,5,15,17,12.21894676,Yes,1049,0,0,0.035714286
2019,29,Ryan Santiago,12d 5h 20m 30s,Yes,"Sterling, Alaska",2019,12,5,20,30,12.22256944,Yes,1049,0,0,0.034482759
2019,30,Jason Campeau,12d 6h 49m 24s,,"Rocky Mountain House, AB, CANADA",2019,12,6,49,24,12.28430556,Yes,1049,0,0,0.033333333
2019,31,Jessica Klejka,12d 7h 12m 35s,Yes,"Wasilla, Alaska",2019,12,7,12,35,12.30040509,Yes,1049,0,0,0.032258065
2019,32,Alison Lifka,13d 8h 35m 29s,Yes,"Willow, Alaska",2019,13,8,35,29,13.35797454,Yes,1049,0,0,0.03125
2019,33,Michael Baker,13d 8h 47m 20s,,"Willow, Alaska",2019,13,8,47,20,13.3662037,Yes,1049,0,0,0.03030303
2019,34,Sarah Stokey,13d 15h 59m 1s,,"Seward, Alaska",2019,13,15,59,1,13.6659838,Yes,1049,0,0,0.029411765
2019,35,Anja Radano,13d 16h 53m 34s,,"Talkeetna, Alaska",2019,13,16,53,34,13.70386574,Yes,1049,0,0,0.028571429
2019,36,Blair Braverman,13d 19h 17m 2s,Yes,"Mountain, WI",2019,13,19,17,2,13.80349537,Yes,1049,0,0,0.027777778
2019,37,Jeremy Keller,13d 22h 52m 20s,,"Knik, Alaska",2019,13,22,52,20,13.95300926,Yes,1049,0,0,0.027027027
2019,38,Kristin Bacon,14d 5h 38m 26s,,"Big Lake, Alaska",2019,14,5,38,26,14.23502315,Yes,1049,0,0,0.026315789
2019,39,Victoria Hardwick,14d 22h 51m 49s,Yes,"Bethel, Alaska",2019,14,22,51,49,14.95265046,Yes,1049,0,0,0.025641026
2019,99,Cindy Abbott,6d 1h 4m 0s,,"Willow, Alaska",2019,6,1,4,0,6.044444444,No,0,0,0,0.01010101
2019,99,Richie Beattie,11d 7h 1m 31s,Yes,"Two Rivers, Alaska",2019,11,7,1,31,11.29271991,No,0,0,0,0.01010101
2019,99,Brett Bruggeman,8d 9h 36m 0s,,"Great Falls, MT",2019,8,9,36,0,8.4,No,0,0,0,0.01010101
2019,99,Sebastien Dos Santos Borges,10d 2h 25m 0s,Yes,"Chazey-Bons, France",2019,10,2,25,0,10.10069444,No,0,0,0,0.01010101
2019,99,Marcelle Fressineau,5d 22h 3m 0s,,"Whitehorse, YT, CANADA",2019,5,22,3,0,5.91875,No,0,0,0,0.01010101
2019,99,Cindy Gallea,14d 9h 0m 0s,,"Wykoff, MN",2019,14,9,0,0,14.375,No,0,0,0,0.01010101
2019,99,Emily Maxwell,5d 22h 0m 0s,,"Iowa City, IA",2019,5,22,0,0,5.916666667,No,0,0,0,0.01010101
2019,99,Nicolas Petit,7d 4h 57m 0s,,"Girdwood, Alaska",2019,7,4,57,0,7.20625,No,0,0,0,0.01010101
2019,99,Robert Redington,7d 2h 22m 0s,,"Willow, Alaska",2019,7,2,22,0,7.098611111,No,0,0,0,0.01010101
2019,99,Ryan Redington,7d 20h 44m 0s,,"Skagway, Alaska",2019,7,20,44,0,7.863888889,No,0,0,0,0.01010101
2019,99,Lev Shvarts,8d 1h 8m 0s,,"Willow, Alaska",2019,8,1,8,0,8.047222222,No,0,0,0,0.01010101
2019,99,Shaynee Traska,2d 11h 44m 0s,,"Gladwin, MI",2019,2,11,44,0,2.488888889,No,0,0,0,0.01010101
2019,99,Niklas Wikstrand,7d 23h 35m 0s,Yes,"Nes i Akershus, NORWAY",2019,7,23,35,0,7.982638889,No,0,0,0,0.01010101
2018,1,Joar Leifseth Ulsom,9d 12h 0m 0s,,"Mo i Rana, NORWAY",2018,9,12,0,0,9.5,Yes,50612,1,1,1
2018,2,Nicolas Petit,9d 14h 15m 3s,,"Girdwood, Alaska",2018,9,14,15,3,9.593784722,Yes,42462,0,0.95,0.5
2018,3,Mitch Seavey,9d 17h 11m 15s,,"Seward, Alaska",2018,9,17,11,15,9.716145833,Yes,39112,0,0.9,0.333333333
2018,4,Ray Redington Jr,9d 21h 3m 1s,,"Wasilla, Alaska",2018,9,21,3,1,9.877094907,Yes,35162,0,0.85,0.25
2018,5,Peter Kaiser,9d 22h 9m 2s,,"Bethel, Alaska",2018,9,22,9,2,9.922939815,Yes,32262,0,0.8,0.2
2018,6,Richie Diehl,9d 23h 19m 47s,,"Aniak, Alaska",2018,9,23,19,47,9.972071759,Yes,27412,0,0.75,0.166666667
2018,7,Jessie Holmes,9d 23h 39m 40s,Yes,"Nenana, Alaska",2018,9,23,39,40,9.98587963,Yes,25812,0,0.7,0.142857143
2018,8,Ramey Smyth,10d 0h 10m 35s,,"Willow, Alaska",2018,10,0,10,35,10.00734954,Yes,24262,0,0.65,0.125
2018,9,Travis Beals,10d 0h 46m 51s,,"Seward, Alaska",2018,10,0,46,51,10.03253472,Yes,22762,0,0.6,0.111111111
2018,10,Linwood Fiedler,10d 1h 27m 54s,,"Willow, Alaska",2018,10,1,27,54,10.06104167,Yes,21312,0,0.55,0.1
2018,11,Matt Hall,10d 3h 36m 51s,Yes,"Two Rivers, Alaska",2018,10,3,36,51,10.15059028,Yes,19912,0,0.5,0.090909091
2018,12,Aaron Burmeister,10d 4h 29m 7s,,"Nome/Nenana, Alaska",2018,10,4,29,7,10.18688657,Yes,18612,0,0.45,0.083333333
2018,13,Matthew Failor,10d 5h 53m 52s,,"Willow, Alaska",2018,10,5,53,52,10.24574074,Yes,17312,0,0.4,0.076923077
2018,14,Ketil Reitan,10d 5h 54m 4s,,"Kaktovik, Alaska",2018,10,5,54,4,10.24587963,Yes,16112,0,0.35,0.071428571
2018,15,Aliy Zirkle,10d 6h 42m 22s,,"Two Rivers, Alaska",2018,10,6,42,22,10.2794213,Yes,14912,0,0.3,0.066666667
2018,16,Jessie Royer,10d 7h 59m 10s,,"Fairbanks, Alaska",2018,10,7,59,10,10.33275463,Yes,13762,0,0.25,0.0625
2018,17,Kelly Maixner,10d 8h 34m 30s,,"Big Lake, Alaska",2018,10,8,34,30,10.35729167,Yes,12662,0,0.2,0.058823529
2018,18,Mats Pettersson,10d 10h 55m 23s,,"Kiruna, SWEDEN",2018,10,10,55,23,10.45512731,Yes,11662,0,0.15,0.055555556
2018,19,Michelle Phillips,10d 11h 36m 46s,,"Tagish, YT, CANADA",2018,10,11,36,46,10.48386574,Yes,10662,0,0.1,0.052631579
2018,20,Lars Monsen,10d 11h 38m 3s,,"Skiptvet, NORWAY",2018,10,11,38,3,10.48475694,Yes,9662,0,0.05,0.05
2018,21,Hugh Neff,10d 17h 56m 15s,,"Tok, Alaska",2018,10,17,56,15,10.74739583,Yes,1049,0,0,0.047619048
2018,22,Anna Berington,10d 21h 44m 20s,,"Knik, Alaska",2018,10,21,44,20,10.90578704,Yes,1049,0,0,0.045454545
2018,23,Michi Konno,11d 0h 35m 2s,Yes,"Willow, Alaska",2018,11,0,35,2,11.0243287,Yes,1049,0,0,0.043478261
2018,24,Jeff King,11d 1h 36m 32s,,"Denali, Alaska",2018,11,1,36,32,11.06703704,Yes,1049,0,0,0.041666667
2018,25,"Michael Williams, Jr.",11d 3h 16m 46s,,"Akiak, Alaska",2018,11,3,16,46,11.13664352,Yes,1049,0,0,0.04
2018,26,Katherine Keith,11d 5h 35m 10s,,"Kotzebue, Alaska",2018,11,5,35,10,11.23275463,Yes,1049,0,0,0.038461538
2018,27,Rick Casillo,11d 7h 29m 17s,,"Big Lake, Alaska",2018,11,7,29,17,11.31200231,Yes,1049,0,0,0.037037037
2018,28,Martin Buser,11d 9h 2m 14s,,"Big Lake, Alaska",2018,11,9,2,14,11.37655093,Yes,1049,0,0,0.035714286
2018,29,Cody Strathe,11d 9h 26m 47s,,"Fairbanks, Alaska",2018,11,9,26,47,11.39359954,Yes,1049,0,0,0.034482759
2018,30,Andrew Nolan,11d 10h 3m 36s,Yes,"Wasilla, Alaska",2018,11,10,3,36,11.41916667,Yes,1049,0,0,0.033333333
2018,31,Noah Pereira,11d 11h 22m 12s,,"Brockport, NY",2018,11,11,22,12,11.47375,Yes,1049,0,0,0.032258065
2018,32,Tom Knolmayer,11d 12h 20m 30s,,"Wasilla, Alaska",2018,11,12,20,30,11.51423611,Yes,1049,0,0,0.03125
2018,33,Emily Maxwell,11d 13h 55m 56s,Yes,"Iowa City, IA",2018,11,13,55,56,11.58050926,Yes,1049,0,0,0.03030303
2018,34,Aaron Peck,11d 14h 42m 6s,,"Grande Prairie, AB, CANADA",2018,11,14,42,6,11.61256944,Yes,1049,0,0,0.029411765
2018,35,Charley Bejna,11d 14h 43m 6s,,"Addison, IL",2018,11,14,43,6,11.61326389,Yes,1049,0,0,0.028571429
